album_artists;label;album_title;artists;track_number;track_title;runtime;isrc;total_length;num_tracks;release_date;catalog_number;bandcamp_url;tags
passengers;Passed Recordings;Beats !;passengers;1;Easy;152;ITQ740804304;2465;13;2026-02-13T00:00:00;;https://passengers-mi.bandcamp.com/album/beats?label=3985473299&tab=music;ambient|dark ambient|drone|electronic|experimental|lo fi|noise|breaks|chill|lo-fi beats|Warren
passengers;Passed Recordings;Beats !;passengers;2;DIS;127;CH6540880766;2465;13;2026-02-13T00:00:00;;https://passengers-mi.bandcamp.com/album/beats?label=3985473299&tab=music;ambient|dark ambient|drone|electronic|experimental|lo fi|noise|breaks|chill|lo-fi beats|Warren
passengers;Passed Recordings;Beats !;passengers;3;Chasing;112;;2465;13;2026-02-13T00:00:00;;https://passengers-mi.bandcamp.com/album/beats?label=3985473299&tab=music;ambient|dark ambient|drone|electronic|experimental|lo fi|noise|breaks|chill|lo-fi beats|Warren
passengers;Passed Recordings;Beats !;passengers;4;:D;195;QZYFZ2554908;2465;13;2026-02-13T00:00:00;;https://passengers-mi.bandcamp.com/album/beats?label=3985473299&tab=music;ambient|dark ambient|drone|electronic|experimental|lo fi|noise|breaks|chill|lo-fi beats|Warren
passengers;Passed Recordings;Beats !;passengers;5;Soph;105;;2465;13;2026-02-13T00:00:00;;https://passengers-mi.bandcamp.com/album/beats?label=3985473299&tab=music;ambient|dark ambient|drone|electronic|experimental|lo fi|noise|breaks|chill|lo-fi beats|Warren
passengers;Passed Recordings;Beats !;passengers;6;FastFastFast;260;;2465;13;2026-02-13T00:00:00;;https://passengers-mi.bandcamp.com/album/beats?label=3985473299&tab=music;ambient|dark ambient|drone|electronic|experimental|lo fi|noise|breaks|chill|lo-fi beats|Warren
passengers;Passed Recordings;Beats !;passengers;7;Dagger;196;;2465;13;2026-02-13T00:00:00;;https://passengers-mi.bandcamp.com/album/beats?label=3985473299&tab=music;ambient|dark ambient|drone|electronic|experimental|lo fi|noise|breaks|chill|lo-fi beats|Warren
passengers;Passed Recordings;Beats !;passengers;8;-;232;GBAAN9500153;2465;13;2026-02-13T00:00:00;;https://passengers-mi.bandcamp.com/album/beats?label=3985473299&tab=music;ambient|dark ambient|drone|electronic|experimental|lo fi|noise|breaks|chill|lo-fi beats|Warren
passengers;Passed Recordings;Beats !;passengers;9;:D [Remix] (feat. I felt it in my sleep);215;;2465;13;2026-02-13T00:00:00;;https://passengers-mi.bandcamp.com/album/beats?label=3985473299&tab=music;ambient|dark ambient|drone|electronic|experimental|lo fi|noise|breaks|chill|lo-fi beats|Warren
passengers;Passed Recordings;Beats !;passengers;10;FastFastFast [Remix] (feat. La Morte D'Arc);255;;2465;13;2026-02-13T00:00:00;;https://passengers-mi.bandcamp.com/album/beats?label=3985473299&tab=music;ambient|dark ambient|drone|electronic|experimental|lo fi|noise|breaks|chill|lo-fi beats|Warren
passengers;Passed Recordings;Beats !;passengers;11;Bzzz [Remix] (feat. KAR);277;;2465;13;2026-02-13T00:00:00;;https://passengers-mi.bandcamp.com/album/beats?label=3985473299&tab=music;ambient|dark ambient|drone|electronic|experimental|lo fi|noise|breaks|chill|lo-fi beats|Warren
passengers;Passed Recordings;Beats !;passengers;12;Chasing [Remix] (feat. La Morte D'Arc);117;;2465;13;2026-02-13T00:00:00;;https://passengers-mi.bandcamp.com/album/beats?label=3985473299&tab=music;ambient|dark ambient|drone|electronic|experimental|lo fi|noise|breaks|chill|lo-fi beats|Warren
passengers;Passed Recordings;Beats !;passengers;13;DIS [Remix] (feat. Ed Herbers);222;;2465;13;2026-02-13T00:00:00;;https://passengers-mi.bandcamp.com/album/beats?label=3985473299&tab=music;ambient|dark ambient|drone|electronic|experimental|lo fi|noise|breaks|chill|lo-fi beats|Warren
Exit Chamber;Passed Recordings;Strategy of Tension;Exit Chamber;1;Gladio;280;;1629;6;2026-01-30T00:00:00;;https://exitchamber.bandcamp.com/album/strategy-of-tension?label=3985473299&tab=music;ambient|atmospheric|cold war|electronic|eurorack|paranoia|soundscapes|synthesizer|Edinburgh
Exit Chamber;Passed Recordings;Strategy of Tension;Exit Chamber;2;Years of Lead;272;;1629;6;2026-01-30T00:00:00;;https://exitchamber.bandcamp.com/album/strategy-of-tension?label=3985473299&tab=music;ambient|atmospheric|cold war|electronic|eurorack|paranoia|soundscapes|synthesizer|Edinburgh
Exit Chamber;Passed Recordings;Strategy of Tension;Exit Chamber;3;30-31B;257;;1629;6;2026-01-30T00:00:00;;https://exitchamber.bandcamp.com/album/strategy-of-tension?label=3985473299&tab=music;ambient|atmospheric|cold war|electronic|eurorack|paranoia|soundscapes|synthesizer|Edinburgh
Exit Chamber;Passed Recordings;Strategy of Tension;Exit Chamber;4;Strategy of Tension;376;;1629;6;2026-01-30T00:00:00;;https://exitchamber.bandcamp.com/album/strategy-of-tension?label=3985473299&tab=music;ambient|atmospheric|cold war|electronic|eurorack|paranoia|soundscapes|synthesizer|Edinburgh
Exit Chamber;Passed Recordings;Strategy of Tension;Brabant, 1982;5;1985;268;;1629;6;2026-01-30T00:00:00;;https://exitchamber.bandcamp.com/album/strategy-of-tension?label=3985473299&tab=music;ambient|atmospheric|cold war|electronic|eurorack|paranoia|soundscapes|synthesizer|Edinburgh
Exit Chamber;Passed Recordings;Strategy of Tension;Exit Chamber;6;State of Exception;176;;1629;6;2026-01-30T00:00:00;;https://exitchamber.bandcamp.com/album/strategy-of-tension?label=3985473299&tab=music;ambient|atmospheric|cold war|electronic|eurorack|paranoia|soundscapes|synthesizer|Edinburgh
Passed Recordings;Passed Recordings;The Passed Year 2025;G!GA LURGH;1;Ambient Jam #1 (Previously YouTube Exclusive);184;;5225;16;2026-01-01T00:00:00;;https://passedrecordings.bandcamp.com/album/the-passed-year-2025;Uppsala
Passed Recordings;Passed Recordings;The Passed Year 2025;Exit Chamber;2;To Surrender The Self (from Around One Constant They Revolve);351;;5225;16;2026-01-01T00:00:00;;https://passedrecordings.bandcamp.com/album/the-passed-year-2025;Uppsala
Passed Recordings;Passed Recordings;The Passed Year 2025;Exit Chamber & Ed Herbers;3;Loathing (from SELF-);577;;5225;16;2026-01-01T00:00:00;;https://passedrecordings.bandcamp.com/album/the-passed-year-2025;Uppsala
Passed Recordings;Passed Recordings;The Passed Year 2025;Cavern Cult;4;Of Hope (from Approach);114;;5225;16;2026-01-01T00:00:00;;https://passedrecordings.bandcamp.com/album/the-passed-year-2025;Uppsala
Passed Recordings;Passed Recordings;The Passed Year 2025;David Aimone;5;TimeDown (from Curiosità Ajmone);346;;5225;16;2026-01-01T00:00:00;;https://passedrecordings.bandcamp.com/album/the-passed-year-2025;Uppsala
Passed Recordings;Passed Recordings;The Passed Year 2025;passengers & I felt it in my sleep;6;Summertime (from Lost in a perfect world);181;;5225;16;2026-01-01T00:00:00;;https://passedrecordings.bandcamp.com/album/the-passed-year-2025;Uppsala
Passed Recordings;Passed Recordings;The Passed Year 2025;Asha Patera;7;Aeturnus (from Call To Silence);368;;5225;16;2026-01-01T00:00:00;;https://passedrecordings.bandcamp.com/album/the-passed-year-2025;Uppsala
Passed Recordings;Passed Recordings;The Passed Year 2025;On Idyl;8;Lost in the Morning (from The Fecund Wood);526;;5225;16;2026-01-01T00:00:00;;https://passedrecordings.bandcamp.com/album/the-passed-year-2025;Uppsala
Passed Recordings;Passed Recordings;The Passed Year 2025;Christian Schwöbel;9;Engelbecken (Previously YouTube Exclusive);492;;5225;16;2026-01-01T00:00:00;;https://passedrecordings.bandcamp.com/album/the-passed-year-2025;Uppsala
Passed Recordings;Passed Recordings;The Passed Year 2025;Ed Herbers;10;No Response (from Tartarus);242;;5225;16;2026-01-01T00:00:00;;https://passedrecordings.bandcamp.com/album/the-passed-year-2025;Uppsala
Passed Recordings;Passed Recordings;The Passed Year 2025;Take Me There;11;Totte (a reflection on childhood) (from Nine Reflections: Music For Cats);246;;5225;16;2026-01-01T00:00:00;;https://passedrecordings.bandcamp.com/album/the-passed-year-2025;Uppsala
Passed Recordings;Passed Recordings;The Passed Year 2025;I felt it in my sleep;12;Toyon (from The Ghost of Christmas Passed);390;;5225;16;2026-01-01T00:00:00;;https://passedrecordings.bandcamp.com/album/the-passed-year-2025;Uppsala
Passed Recordings;Passed Recordings;The Passed Year 2025;Chris Hobbs;13;...and then everything was alright again (from The Ghost of Christmas Passed);340;;5225;16;2026-01-01T00:00:00;;https://passedrecordings.bandcamp.com/album/the-passed-year-2025;Uppsala
Passed Recordings;Passed Recordings;The Passed Year 2025;Unruly Disturbance;14;Winter Chorus (from The Ghost of Christmas Passed);313;;5225;16;2026-01-01T00:00:00;;https://passedrecordings.bandcamp.com/album/the-passed-year-2025;Uppsala
Passed Recordings;Passed Recordings;The Passed Year 2025;Tari Vega;15;SRIC (from The Ghost of Christmas Passed);128;;5225;16;2026-01-01T00:00:00;;https://passedrecordings.bandcamp.com/album/the-passed-year-2025;Uppsala
Passed Recordings;Passed Recordings;The Passed Year 2025;Exit Chamber;16;We Can Get There Simply By Surviving (Previously Unreleased);427;;5225;16;2026-01-01T00:00:00;;https://passedrecordings.bandcamp.com/album/the-passed-year-2025;Uppsala
Ed Herbers;Passed Recordings;Season Cycle: Winter;Ed Herbers;1;Winter Solstice;241;;1515;7;2025-12-21T00:00:00;;https://herbers.bandcamp.com/album/season-cycle-winter?label=3985473299&tab=music;ambient|cinematic|cold|electronic|instrumental|meditation|solstice|soundtrack|winter|winter music|winter solstice|Cincinnati
Ed Herbers;Passed Recordings;Season Cycle: Winter;Ed Herbers;2;Northern Lights;124;;1515;7;2025-12-21T00:00:00;;https://herbers.bandcamp.com/album/season-cycle-winter?label=3985473299&tab=music;ambient|cinematic|cold|electronic|instrumental|meditation|solstice|soundtrack|winter|winter music|winter solstice|Cincinnati
Ed Herbers;Passed Recordings;Season Cycle: Winter;Ed Herbers;3;Windswept;298;;1515;7;2025-12-21T00:00:00;;https://herbers.bandcamp.com/album/season-cycle-winter?label=3985473299&tab=music;ambient|cinematic|cold|electronic|instrumental|meditation|solstice|soundtrack|winter|winter music|winter solstice|Cincinnati
Ed Herbers;Passed Recordings;Season Cycle: Winter;Ed Herbers;4;Long, Dark Nights;290;;1515;7;2025-12-21T00:00:00;;https://herbers.bandcamp.com/album/season-cycle-winter?label=3985473299&tab=music;ambient|cinematic|cold|electronic|instrumental|meditation|solstice|soundtrack|winter|winter music|winter solstice|Cincinnati
Ed Herbers;Passed Recordings;Season Cycle: Winter;Ed Herbers;5;Winterlude;90;;1515;7;2025-12-21T00:00:00;;https://herbers.bandcamp.com/album/season-cycle-winter?label=3985473299&tab=music;ambient|cinematic|cold|electronic|instrumental|meditation|solstice|soundtrack|winter|winter music|winter solstice|Cincinnati
Ed Herbers;Passed Recordings;Season Cycle: Winter;Ed Herbers;6;Silent Snowfall;162;;1515;7;2025-12-21T00:00:00;;https://herbers.bandcamp.com/album/season-cycle-winter?label=3985473299&tab=music;ambient|cinematic|cold|electronic|instrumental|meditation|solstice|soundtrack|winter|winter music|winter solstice|Cincinnati
Ed Herbers;Passed Recordings;Season Cycle: Winter;Ed Herbers;7;Full Moon's Light on Fallen Snow;310;;1515;7;2025-12-21T00:00:00;;https://herbers.bandcamp.com/album/season-cycle-winter?label=3985473299&tab=music;ambient|cinematic|cold|electronic|instrumental|meditation|solstice|soundtrack|winter|winter music|winter solstice|Cincinnati
Passed Recordings;Passed Recordings;The Ghost Of Christmas Passed;Asha Patera;1;The Joy On Their Faces That Morning;370;;11651;35;2025-12-19T00:00:00;;https://passedrecordings.bandcamp.com/album/the-ghost-of-christmas-passed;ambient|christmas|compilation|dark ambient|drone|electronic|experimental|new age|noise|techno|Uppsala
Passed Recordings;Passed Recordings;The Ghost Of Christmas Passed;Ed Herbers;2;The Moon (How Bright It Is);271;;11651;35;2025-12-19T00:00:00;;https://passedrecordings.bandcamp.com/album/the-ghost-of-christmas-passed;ambient|christmas|compilation|dark ambient|drone|electronic|experimental|new age|noise|techno|Uppsala
Passed Recordings;Passed Recordings;The Ghost Of Christmas Passed;David Aimone;3;Gel’s Bells;221;;11651;35;2025-12-19T00:00:00;;https://passedrecordings.bandcamp.com/album/the-ghost-of-christmas-passed;ambient|christmas|compilation|dark ambient|drone|electronic|experimental|new age|noise|techno|Uppsala
Passed Recordings;Passed Recordings;The Ghost Of Christmas Passed;Twilight Sleep;4;The Lights Turned Down Low;336;;11651;35;2025-12-19T00:00:00;;https://passedrecordings.bandcamp.com/album/the-ghost-of-christmas-passed;ambient|christmas|compilation|dark ambient|drone|electronic|experimental|new age|noise|techno|Uppsala
Passed Recordings;Passed Recordings;The Ghost Of Christmas Passed;Tapemoth;5;Entropy;177;;11651;35;2025-12-19T00:00:00;;https://passedrecordings.bandcamp.com/album/the-ghost-of-christmas-passed;ambient|christmas|compilation|dark ambient|drone|electronic|experimental|new age|noise|techno|Uppsala
Passed Recordings;Passed Recordings;The Ghost Of Christmas Passed;Kevyn Oliveira;6;25;211;;11651;35;2025-12-19T00:00:00;;https://passedrecordings.bandcamp.com/album/the-ghost-of-christmas-passed;ambient|christmas|compilation|dark ambient|drone|electronic|experimental|new age|noise|techno|Uppsala
Passed Recordings;Passed Recordings;The Ghost Of Christmas Passed;Bak;7;December 1995;408;;11651;35;2025-12-19T00:00:00;;https://passedrecordings.bandcamp.com/album/the-ghost-of-christmas-passed;ambient|christmas|compilation|dark ambient|drone|electronic|experimental|new age|noise|techno|Uppsala
Passed Recordings;Passed Recordings;The Ghost Of Christmas Passed;Fennel;8;Gold, Frankincense, and Myrrh;214;;11651;35;2025-12-19T00:00:00;;https://passedrecordings.bandcamp.com/album/the-ghost-of-christmas-passed;ambient|christmas|compilation|dark ambient|drone|electronic|experimental|new age|noise|techno|Uppsala
Passed Recordings;Passed Recordings;The Ghost Of Christmas Passed;Voidborn;9;Transcendence;463;;11651;35;2025-12-19T00:00:00;;https://passedrecordings.bandcamp.com/album/the-ghost-of-christmas-passed;ambient|christmas|compilation|dark ambient|drone|electronic|experimental|new age|noise|techno|Uppsala
Passed Recordings;Passed Recordings;The Ghost Of Christmas Passed;Ghola V;10;Lost My Rudolph;319;;11651;35;2025-12-19T00:00:00;;https://passedrecordings.bandcamp.com/album/the-ghost-of-christmas-passed;ambient|christmas|compilation|dark ambient|drone|electronic|experimental|new age|noise|techno|Uppsala
Passed Recordings;Passed Recordings;The Ghost Of Christmas Passed;Angel;11;Snowfields;238;;11651;35;2025-12-19T00:00:00;;https://passedrecordings.bandcamp.com/album/the-ghost-of-christmas-passed;ambient|christmas|compilation|dark ambient|drone|electronic|experimental|new age|noise|techno|Uppsala
Passed Recordings;Passed Recordings;The Ghost Of Christmas Passed;On Idyl;12;Sipping whiskey on Christmas Eve, out in the snow, under a full moon;295;;11651;35;2025-12-19T00:00:00;;https://passedrecordings.bandcamp.com/album/the-ghost-of-christmas-passed;ambient|christmas|compilation|dark ambient|drone|electronic|experimental|new age|noise|techno|Uppsala
